id,日期,項目內容,收支類型,金額,備註,建立時間,user_id
"7cde03c2-805e-45e2-bfb9-8ceb4ab7e0b6","2026-04-28T00:00:00+00:00","紙箱","支出","371","","2026-04-28T14:41:39.911335+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"9bdb92ed-2984-49d7-8d79-8e14d2428cbc","2026-04-28T00:00:00+00:00","膠帶切割","支出","278","","2026-04-28T14:41:39.911335+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"e6c42851-28e7-4a13-b2e6-b98a894a8099","2026-04-30T00:00:00+00:00","稅金","支出","692","","2026-04-30T03:17:02.301799+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"cc2e1a50-19c2-4480-988a-95ab2a3ef428","2026-05-01T00:00:00+00:00","給老大","支出","500","","2026-05-01T16:04:42.705162+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"30154024-5473-4a75-ae27-c686d3372895","2026-05-04T00:00:00+00:00","運費","支出","668","","2026-05-04T14:29:09.972494+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"11a00325-b503-4c8f-90e0-ef5f298fe11b","2026-05-06T00:00:00+00:00","運費","支出","705","","2026-05-06T05:29:08.574452+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"e623e30a-35ae-4d51-b453-77ab0cedceda","2026-05-07T00:00:00+00:00","一堆小賞懶得記","支出","855","","2026-05-07T17:04:11.107093+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"8b404a56-32dd-4eda-bd49-8591b2207687","2026-05-09T00:00:00+00:00","proof後藤一里","支出","2046","","2026-05-09T15:17:17.045439+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"88491d87-0bd2-425f-9297-d61692532b1e","2026-05-09T00:00:00+00:00","兩隻波奇","收入","6260","","2026-05-09T15:53:29.621336+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"04edfee3-3f80-44fb-89aa-ee4dceae68f1","2026-05-11T00:00:00+00:00","運費","支出","591","","2026-05-11T10:17:37.03857+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"65648357-bc1c-4714-bb93-9891913ffe7b","2026-05-15T00:00:00+00:00","運費","支出","783","","2026-05-15T17:43:10.737634+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"aeefbc49-6165-43dd-b81c-16a17e7d7a48","2026-05-17T00:00:00+00:00","運費","支出","670","","2026-05-17T14:31:09.487636+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"73887a8b-eb32-4013-a389-6888d6216d13","2026-05-18T00:00:00+00:00","蝦皮廣告","支出","500","","2026-05-19T04:05:12.754094+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"57e5a72b-d55c-4f6b-9845-8a1c6f56ad2c","2026-05-17T00:00:00+00:00","鞋舌","收入","200","","2026-05-17T07:24:32.934971+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"0f34d540-5a56-42e3-a010-6253409f246c","2026-05-17T00:00:00+00:00","緹寶疊疊","收入","140","","2026-05-17T07:24:32.934971+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"7ebb1202-215e-4b30-8725-4b70d92ee267","2026-05-19T00:00:00+00:00","鐳射票","支出","130","","2026-05-20T14:41:46.200315+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
